Type,Item,Count,Frequency_%
character, ,4999,20.716
character,o,4404,18.250
character,y,2695,11.168
character,e,1744,7.227
character,a,1694,7.020
character,i,1476,6.117
character,q,1369,5.673
character,k,1100,4.558
character,d,1058,4.384
character,c,991,4.107
character,s,845,3.502
character,l,786,3.257
character,h,755,3.129
character,r,737,3.054
character,f,669,2.772
character,p,610,2.528
character,t,531,2.200
character,m,463,1.919
character,n,430,1.782
character,g,420,1.740
character,b,356,1.475
character,x,310,1.285
character,z,286,1.185
character,w,225,0.932
character,v,177,0.733
word,o,13,0.260
word,oo,10,0.200
word,qoay,8,0.160
word,qody,8,0.160
word,e,8,0.160
word,qooy,7,0.140
word,yo,7,0.140
word,qoiy,7,0.140
word,qoyy,7,0.140
word,qoey,6,0.120
word,qocy,6,0.120
word,eo,6,0.120
word,ai,6,0.120
word,s,6,0.120
word,ok,6,0.120
word,ooo,6,0.120
word,os,5,0.100
word,qoky,5,0.100
word,k,5,0.100
word,og,5,0.100
word,of,5,0.100
word,a,5,0.100
word,qomy,5,0.100
word,co,5,0.100
word,b,5,0.100
word,q,5,0.100
word,yy,4,0.080
word,oy,4,0.080
word,qory,4,0.080
word,g,4,0.080
word,ap,4,0.080
word,yh,4,0.080
word,do,4,0.080
word,fl,4,0.080
word,ao,4,0.080
word,ae,4,0.080
word,r,4,0.080
word,io,4,0.080
word,is,4,0.080
word,f,4,0.080
word,i,4,0.080
word,ed,4,0.080
word,ho,4,0.080
word,pc,3,0.060
word,ec,3,0.060
word,qosy,3,0.060
word,so,3,0.060
word,el,3,0.060
word,d,3,0.060
word,ii,3,0.060
